year,RevBI,TRT,Transect_id,ID,Achillea_millefolium,Agropyron_dasytachum,Agropyron_smithii,Agropyron_species,Agrostis_scabra,Agrostis_sp.,Allium_cernuum,Amaranthus_sp,Andropogon_springfieldii,Androsace_septentrionales,Animal_feces,Ant_hill,Antennaria_marginata,Antennaria_parvifolia,Antennaria_spp.,Apocynum_androsaemifolium,Apocynum_cannabinum,Arenaria_confusa,Arenaria_lanuginosum,Aristida_spp.,Artemisia_campestris,Artemisia_ludoviciana,Asclepias_sp,Bahia_dissecta,Blepharoneuron_tricholepis,Bouteloua_curtipendula,Bouteloua_gracilis,Brickellia_californica,Brickellia_grandiflora,Brickellia_sp,bromus_carinatus,Bromus_ciliatus,Bromus_inermis,Bromus_japonicus,Bromus_tectorum,Carex_spp,Castilleja_linariaefolia,Ceanothus_fendleri,Cercocarpus_montanus,Chenopodium_album,Chenopodium_desiccatum,Chenopodium_fremontii,Chenopodium_graveolens,Chenopodium_sp,Chrysopsis_villosa,Cirsium_sp,Cirsium_spp,Clematis_pseudoalpina,combined_soil_cryp_pumc_grav_rock,Conyza_canadensis,Conyza_schiedeana,Corydalis_aurea,Cryptantha_jamesii,Cryptogam,Cymopterus_fendleri,Dead_wood,Elymus_elymoides,Elymus_sp,Elymus_species,Elymus_trachycaulum,Epilobium_angustifolium,Epilobium_ciliatum,Epiloboim_ciliatum,Erigeron_divergens,Erigeron_flagellaris,Erigeron_speciosus,Erigeron_subtrinervis,Erysimum_capitatum,Eupatorium_herbaceum,Euphorbia_fendleri,Euphorbia_revoluta,Festuca_arizonica,Festuca_idahoensis,Fragaria_americana,Frovaria_sp,Fungus,Geranium_caespitosum,Geranium_richardsonii,Geranium_species,Gravel,Hackelia_pinetorum,Hackelia_sp,Hieracium_fendleri,Hieracium_spp,Human_debris_inorganic,Hymenoxys_richardsonii,Ipomopsis_aggregata,Juniperus_deppeana,Juniperus_monosperma,Kochia_scoparia,Koeleria_cristata,Kuhnia_chlorolepis,Lactuca_serriola,Lappula_redowskii,Linum_neomexicana,Linum_puberulum,Lithospermum_incisum,Lithospermum_multiflorum,Litter,Lolium_multiflorum,Lolium_perenne,Lotus_wrightii,Lupinus_kingii,Lycurus_phleoides,Malacothrix_fendleri,Medicago_sativa,Melilotus_albus,Mentzelia_albicaulis,Mentzelia_laciniata,Mentzelia_pumila,Mentzelia_sp,Mertensia_lanceolata,Moss,Muhlenbergia_montana,Muhlenbergia_wolfii,Mushroom,Nama_dichotomus,Oenothera_hookeri,Oenothera_sp,Onagraceae_sp,Oryzopsis_hymenoides,Oxybaphus_linearis,Packera_fendleri,Panicum_scriberianum,Penstemon_barbatus,Penstemon_virgatus,Pericome_caudata,Petalostemum_candidum,Phacelia_heterophylla,Phleum_pratense,pine_cone,Pinus_edulis,Pinus_flexilis,Pinus_ponderosa,Poa_compressa,Poa_fendleriana,Poa_pratensis,Poa_sp,Poa_spp,Polygonum_sawatchense,Populus_tremuloides,Portulaca_oleracea,Pseudocymopterus_montanus,Pseudotsuga_menziesii,Psoralea_tenuiflora,Quercus_gambellii,Quercus_spp,Quercus_undulata,Ribes_cereum,Ribes_sp,Robinia_neomexicana,Rock,Rosa_spp,Rosa_woodsii,Rubus_strigosus,Salsola_kali,Schizachyrium_scoparius,Senecio_eremophilis,Senecio_eurypterus,Senecio_fendleri,Senecio_sp,Senecio_wootonii,Sisymbrium_linearifolium,Soil,Solidago_spathulata,Solidago_species,Solidago_spp,Sphaeralcea_fendleri,Sporobolus_cryptandrus,Sporobolus_species,Taraxacum_officinale,Thalictrum_fendleri,Thelypodium_wrightii,Thermopsis_pinetorum,Townsendia_incana,Tragopogon_dubius,Tree.root_exposed_living,Unidentified_forb,Unidentified_grass,Unidentified_shrub,Unidentified_tree,unknown_Cruciferae,unknown_Penstemon,Verbascum_thapsus,Vicia_americana,Viguiera_multiflora,Yucca_angustissima
1997,High,Seeded,1HAS1,SH97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,0,5,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1997,High,Seeded,1HBS2,SH97,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,52,0,1,0,1,6,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1997,High,Seeded,1MAS1,SH97,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,5,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,0,0,0
1997,High,Seeded,1MAS2,SH97,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,62,12,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0
1997,High,Seeded,2HAS1,SH97,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
1997,High,Seeded,2HAS2,SH97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29,0,1,0,0,1,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
1997,High,Seeded,2HBS1,SH97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1997,High,Seeded,2HBS2,SH97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28,0,0,0,1,0,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0
1997,High,Seeded,2HBU1,SH97,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1997,High,Seeded,3HAS1,SH97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0
